Edad,Ano ,Origen,lx
0,2016,Espana,415905
1,2016,Espana,421298
2,2016,Espana,417017
3,2016,Espana,442411
4,2016,Espana,458538
5,2016,Espana,465186
6,2016,Espana,473040
7,2016,Espana,496438
8,2016,Espana,475334
9,2016,Espana,468242
10,2016,Espana,453985
11,2016,Espana,444190
12,2016,Espana,431571
13,2016,Espana,410141
14,2016,Espana,401285
15,2016,Espana,393953
16,2016,Espana,378133
17,2016,Espana,364009
18,2016,Espana,365989
19,2016,Espana,360042
20,2016,Espana,358967
21,2016,Espana,364454
22,2016,Espana,380367
23,2016,Espana,394542
24,2016,Espana,392208
25,2016,Espana,396212
26,2016,Espana,402810
27,2016,Espana,410165
28,2016,Espana,416344
29,2016,Espana,428217
30,2016,Espana,444694
31,2016,Espana,463366
32,2016,Espana,480724
33,2016,Espana,509056
34,2016,Espana,536037
35,2016,Espana,565066
36,2016,Espana,587930
37,2016,Espana,622181
38,2016,Espana,634638
39,2016,Espana,652583
40,2016,Espana,650363
41,2016,Espana,647273
42,2016,Espana,634005
43,2016,Espana,632151
44,2016,Espana,625181
45,2016,Espana,616820
46,2016,Espana,615381
47,2016,Espana,611797
48,2016,Espana,622130
49,2016,Espana,611262
50,2016,Espana,609933
51,2016,Espana,624226
52,2016,Espana,595062
53,2016,Espana,579074
54,2016,Espana,572044
55,2016,Espana,576887
56,2016,Espana,564745
57,2016,Espana,553778
58,2016,Espana,542394
59,2016,Espana,504802
60,2016,Espana,490934
61,2016,Espana,468200
62,2016,Espana,471125
63,2016,Espana,469312
64,2016,Espana,438761
65,2016,Espana,427106
66,2016,Espana,446089
67,2016,Espana,467260
68,2016,Espana,422702
69,2016,Espana,402994
70,2016,Espana,423252
71,2016,Espana,398019
72,2016,Espana,390227
73,2016,Espana,331079
74,2016,Espana,302228
75,2016,Espana,371039
76,2016,Espana,237374
77,2016,Espana,269000
78,2016,Espana,298322
79,2016,Espana,319954
80,2016,Espana,302441
81,2016,Espana,289839
82,2016,Espana,284428
83,2016,Espana,267446
84,2016,Espana,238317
85,2016,Espana,222130
86,2016,Espana,193380
87,2016,Espana,173493
88,2016,Espana,145106
89,2016,Espana,127268
90,2016,Espana,450318
0,2017,Espana,406244
1,2017,Espana,414296
2,2017,Espana,419316
3,2017,Espana,415315
4,2017,Espana,441131
5,2017,Espana,456525
6,2017,Espana,463646
7,2017,Espana,471557
8,2017,Espana,494825
9,2017,Espana,473917
